what,kind,bundleId,bundleVersion,description,time
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1298429272984
opened,view,org.eclipse.jdt.ui,3.5.2.r352_v20100106-0800,"org.eclipse.jdt.ui.TypeHierarchy",1298429279187
started,bundle,org.eclipse.ui.navigator,3.4.1.M20090911-1550,"org.eclipse.ui.navigator",1298429279202
activated,view,org.eclipse.jdt.ui,3.5.2.r352_v20100106-0800,"org.eclipse.jdt.ui.TypeHierarchy",1298429279291
activated,view,org.eclipse.jdt.ui,3.5.2.r352_v20100106-0800,"org.eclipse.jdt.ui.PackageExplorer",1298429280820
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1298429289452
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1298429292646
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1298429293668
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1298429528518
started,bundle,com.android.ide.eclipse.ddms,10.0.0.v201102162101-104271,"com.android.ide.eclipse.ddms",1298429536062
started,bundle,org.eclipse.wst.sse.core,1.1.402.v201001251516,"org.eclipse.wst.sse.core",1298429536194
started,bundle,com.android.ide.eclipse.adt,10.0.0.v201102162101-104271,"com.android.ide.eclipse.adt",1298429536196
started,bundle,org.eclipse.ltk.core.refactoring,3.5.0.v20090513-2000,"org.eclipse.ltk.core.refactoring",1298429536262
started,bundle,org.eclipse.ltk.ui.refactoring,3.4.100.v20090604,"org.eclipse.ltk.ui.refactoring",1298429536263
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1298429536368
started,bundle,com.android.ide.eclipse.traceview,10.0.0.v201102162101-104271,"com.android.ide.eclipse.traceview",1298429536400
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1298429539063
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1298429543515
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1298429562025
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1298429565835
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1298429596284
activated,editor,com.aptana.ide.server.portal,2.0.0.1278523018,"com.aptana.ide.server.portal.ui.MyAptanaEditor",1298429605812
activated,view,org.eclipse.jdt.ui,3.5.2.r352_v20100106-0800,"org.eclipse.jdt.ui.PackageExplorer",1298429605864
closed,editor,com.aptana.ide.server.portal,2.0.0.1278523018,"com.aptana.ide.server.portal.ui.MyAptanaEditor",1298429605865
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1298429610727
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1298429677906
executed,command,org.eclipse.ui.ide,3.5.1.M20090826-0800,"org.eclipse.ui.edit.text.openLocalFile",1298429677913
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1298429696899
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1298429719888
executed,command,org.eclipse.ui,3.5.1.M20090902-1000,"org.eclipse.ui.file.import",1298429719933
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1298429722128
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1298429888075
started,bundle,org.eclipse.ui.externaltools,3.2.0.v20090504,"org.eclipse.ui.externaltools",1298429890484
started,bundle,org.eclipse.equinox.p2.ui.sdk,1.0.100.v20090520-1905,"org.eclipse.equinox.p2.ui.sdk",1298429893284
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1298429893447
started,bundle,org.eclipse.equinox.p2.extensionlocation,1.0.100.v20090520-1905,"org.eclipse.equinox.p2.extensionlocation",1298429894244
started,bundle,org.eclipse.equinox.p2.updatesite,1.0.100.v20090525,"org.eclipse.equinox.p2.updatesite",1298429894552
started,bundle,org.eclipse.equinox.p2.publisher,1.0.0.v20090527-1812,"org.eclipse.equinox.p2.publisher",1298429894553
error,log,,,"Unable to load the repository http://developer.android.com/sdk",1298429895252
executed,command,org.eclipse.ui,3.5.1.M20090902-1000,"org.eclipse.ui.edit.paste",1298429895260
started,bundle,org.eclipse.equinox.p2.artifact.repository,1.0.101.R35x_v20090721,"org.eclipse.equinox.p2.artifact.repository",1298429901515
started,bundle,org.eclipse.equinox.p2.touchpoint.eclipse,1.0.101.R35x_20090820-1821,"org.eclipse.equinox.p2.touchpoint.eclipse",1298429922635
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1298429937587
executed,command,org.eclipse.equinox.p2.ui.sdk,1.0.100.v20090520-1905,"org.eclipse.equinox.p2.ui.sdk.install",1298429937642
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1298429937952
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1298430004587
closed,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1298430004794
stopped,bundle,org.eclipse.mylyn.ide.ant,3.4.0.v20100608-0100-e3x,"org.eclipse.mylyn.ide.ant",1298430005692
stopped,bundle,org.eclipse.ant.ui,3.4.2.v20091204_r352,"org.eclipse.ant.ui",1298430005693
stopped,bundle,org.eclipse.mylyn.java.tasks,3.4.0.v20100608-0100-e3x,"org.eclipse.mylyn.java.tasks",1298430005693
stopped,bundle,org.eclipse.mylyn.java.ui,3.4.0.v20100608-0100-e3x,"org.eclipse.mylyn.java.ui",1298430005697
