what,kind,bundleId,bundleVersion,description,time
executed,command,org.eclipse.debug.ui,3.5.1.v20090811_r351,"org.eclipse.debug.ui.DebugPerspective",1298511268368
error,log,,,"(Build 2.0.5.1278523018) [ERROR] Unable to connect to database",1298511291899
error,log,,,"(Build 2.0.5.1278523018) [ERROR] Unable to connect to database",1298511291900
activated,perspective,org.eclipse.egit.ui,0.11.3,"org.eclipse.egit.ui.GitRepositoryExploring",1298511291900
error,log,,,"(Build 2.0.5.1278523018) [ERROR] Unable to connect to database",1298511294038
error,log,,,"(Build 2.0.5.1278523018) [ERROR] Unable to connect to database",1298511294082
activated,perspective,org.eclipse.jdt.ui,3.5.2.r352_v20100106-0800,"org.eclipse.jdt.ui.JavaPerspective",1298511294082
activated,view,org.eclipse.jdt.ui,3.5.2.r352_v20100106-0800,"org.eclipse.jdt.ui.PackageExplorer",1298511307661
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1298511324806
closed,editor,org.eclipse.jdt.ui,3.5.2.r352_v20100106-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1298511327404
closed,editor,org.eclipse.jdt.ui,3.5.2.r352_v20100106-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1298511327458
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1298511327608
executed,command,org.eclipse.ltk.ui.refactoring,3.4.100.v20090604,"org.eclipse.ltk.ui.refactoring.commands.deleteResources",1298511327641
executed,command,org.eclipse.ui,3.5.1.M20090902-1000,"org.eclipse.ui.edit.delete",1298511327642
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1298511331768
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1298511377290
executed,command,org.eclipse.ui,3.5.1.M20090902-1000,"org.eclipse.ui.file.import",1298511377381
executed,command,org.eclipse.ui,3.5.1.M20090902-1000,"org.eclipse.ui.file.import",1298511377382
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1298511382295
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1298511384433
executed,command,org.eclipse.ltk.ui.refactoring,3.4.100.v20090604,"org.eclipse.ltk.ui.refactoring.commands.deleteResources",1298511384463
executed,command,org.eclipse.ui,3.5.1.M20090902-1000,"org.eclipse.ui.edit.delete",1298511384464
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1298511387683
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1298511389759
executed,command,org.eclipse.ltk.ui.refactoring,3.4.100.v20090604,"org.eclipse.ltk.ui.refactoring.commands.deleteResources",1298511389790
executed,command,org.eclipse.ui,3.5.1.M20090902-1000,"org.eclipse.ui.edit.delete",1298511389790
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1298511401690
error,log,,,"Failed to load properties file for project 'P0'",1298511513516
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1298511513701
executed,command,org.eclipse.ui,3.5.1.M20090902-1000,"org.eclipse.ui.newWizard",1298511513745
error,log,,,"(Build 2.0.5.1278523018) [ERROR] Unable to connect to database",1298511520450
error,log,,,"(Build 2.0.5.1278523018) [ERROR] Unable to connect to database",1298511520451
activated,perspective,org.eclipse.egit.ui,0.11.3,"org.eclipse.egit.ui.GitRepositoryExploring",1298511520451
activated,editor,org.eclipse.ui.editors,3.5.0.v20090527-2000,"org.eclipse.ui.DefaultTextEditor",1298511520472
activated,view,org.eclipse.egit.ui,0.11.3,"org.eclipse.egit.ui.RepositoriesView",1298511524297
no handler,command,org.eclipse.ui,3.5.1.M20090902-1000,"org.eclipse.ui.file.refresh",1298511530172
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1298511538579
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1298511552339
no handler,command,org.eclipse.ui,3.5.1.M20090902-1000,"org.eclipse.ui.file.refresh",1298511559768
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1298511583636
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1298511634224
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1298511692852
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1298511695598
executed,command,org.eclipse.egit.ui,0.11.3,"org.eclipse.egit.ui.RepositoriesViewDelete",1298511695634
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1298511695663
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1298511699207
started,bundle,org.eclipse.ui.externaltools,3.2.0.v20090504,"org.eclipse.ui.externaltools",1298511743381
executed,command,org.eclipse.egit.ui,0.11.3,"org.eclipse.egit.ui.RepositoriesViewRefresh",1298511752217
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1298511864290
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1298511895522
